iter	Passed	Remaining
697	6302	2726
698	6310	2717
699	6316	2707
700	6327	2698
701	6333	2688
702	6345	2680
703	6351	2670
704	6363	2662
705	6370	2653
706	6377	2642
707	6383	2632
708	6393	2624
709	6399	2613
710	6407	2604
711	6413	2594
712	6423	2585
713	6429	2575
714	6437	2566
715	6444	2556
716	6452	2546
717	6460	2537
718	6468	2528
719	6477	2519
720	6486	2510
721	6493	2500
722	6501	2490
723	6507	2480
724	6514	2470
725	6522	2461
726	6528	2451
727	6535	2441
728	6541	2431
729	6552	2423
730	6560	2414
731	6570	2405
732	6582	2397
733	6588	2387
734	6598	2379
735	6604	2369
736	6614	2360
737	6621	2350
738	6632	2342
739	6642	2333
740	6651	2325
741	6662	2316
742	6669	2306
743	6678	2298
744	6684	2288
745	6692	2278
746	6698	2268
747	6704	2258
748	6714	2250
749	6720	2240
750	6728	2230
751	6734	2221
752	6744	2212
753	6750	2202
754	6761	2193
755	6767	2184
756	6777	2175
757	6783	2165
758	6792	2156
759	6798	2146
760	6807	2138
761	6814	2128
762	6826	2120
763	6832	2110
764	6841	2101
765	6847	2091
766	6856	2082
767	6862	2072
768	6873	2064
769	6879	2055
770	6888	2046
771	6894	2036
772	6899	2026
773	6908	2017
774	6914	2007
775	6923	1998
776	6929	1988
777	6940	1980
778	6946	1970
779	6954	1961
780	6960	1951
781	6972	1943
782	6980	1934
783	6995	1927
784	7008	1919
785	7018	1911
786	7025	1901
787	7072	1902
788	7107	1900
789	7120	1892
790	7135	1885
791	7145	1876
792	7156	1868
793	7170	1860
794	7190	1854
795	7204	1846
796	7215	1837
797	7225	1829
798	7238	1820
799	7249	1812
800	7259	1803
801	7269	1794
802	7278	1785
803	7291	1777
804	7302	1768
805	7316	1760
806	7324	1751
807	7335	1743
808	7346	1734
809	7353	1724
810	7362	1715
811	7369	1706
812	7381	1697
813	7388	1688
814	7399	1679
815	7407	1670
816	7416	1661
817	7429	1652
818	7436	1643
819	7445	1634
820	7453	1625
821	7464	1616
822	7471	1606
823	7481	1598
824	7488	1588
825	7497	1579
826	7505	1570
827	7513	1560
828	7521	1551
829	7529	1542
830	7535	1532
831	7543	1523
832	7549	1513
833	7557	1504
834	7564	1494
835	7573	1485
836	7579	1475
837	7584	1466
838	7592	1457
839	7598	1447
840	7607	1438
841	7612	1428
842	7623	1419
843	7628	1410
844	7637	1400
845	7643	1391
846	7658	1383
847	7669	1374
848	7688	1367
849	7717	1361
850	7744	1355
851	7799	1354
852	7869	1356
853	7922	1354
854	7992	1355
855	8021	1349
856	8034	1340
857	8052	1332
858	8062	1323
859	8071	1313
860	8085	1305
861	8102	1297
862	8114	1288
863	8127	1279
864	8160	1273
865	8171	1264
866	8183	1255
867	8198	1246
868	8219	1239
869	8231	1229
870	8243	1220
871	8265	1213
872	8281	1204
873	8300	1196
874	8313	1187
875	8324	1178
876	8333	1168
877	8345	1159
878	8357	1150
879	8365	1140
880	8377	1131
881	8393	1122
882	8401	1113
883	8422	1105
884	8439	1096
885	8572	1103
886	8585	1093
887	8617	1086
888	8839	1103
889	8920	1102
890	8938	1093
891	8950	1083
892	9031	1082
893	9055	1073
894	9083	1065
895	9121	1058
896	9137	1049
897	9154	1039
898	9169	1030
899	9184	1020
900	9200	1010
901	9237	1003
902	9284	997
903	9296	987
904	9308	977
905	9328	967
906	9343	958
907	9357	948
908	9364	937
909	9372	926
910	9382	916
911	9395	906
912	9407	896
913	9416	886
914	9431	876
915	9442	865
916	9448	855
917	9457	844
918	9464	834
919	9476	824
920	9486	813
921	9494	803
922	9507	793
923	9514	782
924	9523	772
925	9532	761
926	9544	751
927	9554	741
928	9560	730
929	9569	720
930	9576	709
931	9585	699
932	9591	688
933	9597	678
934	9608	667
935	9614	657
936	9621	646
937	9628	636
938	9635	625
939	9643	615
940	9650	605
941	9656	594
942	9662	584
943	9671	573
944	9677	563
945	9684	552
946	9691	542
947	9698	532
948	9704	521
949	9710	511
950	9717	500
951	9724	490
952	9731	479
953	9738	469
954	9746	459
955	9753	448
956	9758	438
957	9767	428
958	9772	417
959	9780	407
960	9786	397
961	9795	386
962	9802	376
963	9808	366
964	9816	356
965	9822	345
966	9829	335
967	9837	325
968	9845	314
969	9852	304
970	9859	294
971	9867	284
972	9873	273
973	9881	263
974	9888	253
975	9898	243
976	9904	233
977	9911	222
978	9917	212
979	9927	202
980	9933	192
981	9943	182
982	9949	172
983	9957	161
984	9964	151
985	9974	141
986	9980	131
987	9986	121
988	9994	111
989	10000	101
990	10007	90
991	10013	80
992	10018	70
993	10024	60
994	10029	50
995	10034	40
996	10041	30
997	10045	20
998	10049	10
999	10055	0
